participants,register,condition,response
24,low,MRSE,6
24,low,HRSE,6
24,low,congr.,6
24,mid,LRSE,6
24,mid,MRSE,6
24,mid,HRSE,6
24,mid,congr.,5
24,high,LRSE,4
24,high,MRSE,6
24,high,HRSE,4
24,high,congr.,5
25,low,LRSE,4.33333333333333
25,low,MRSE,2.66666666666667
25,low,HRSE,4.33333333333333
25,low,congr.,2.66666666666667
25,mid,LRSE,4.33333333333333
25,mid,MRSE,4.33333333333333
25,mid,HRSE,6
25,mid,congr.,4.33333333333333
25,high,LRSE,4.33333333333333
25,high,MRSE,4.33333333333333
25,high,HRSE,2.66666666666667
25,high,congr.,4.33333333333333
26,low,LRSE,2.66666666666667
26,low,MRSE,2.66666666666667
26,low,HRSE,4.33333333333333
26,low,congr.,2.66666666666667
26,mid,LRSE,4.33333333333333
26,mid,MRSE,4.33333333333333
26,mid,HRSE,4.33333333333333
26,mid,congr.,4.33333333333333
26,high,LRSE,6
26,high,MRSE,6
26,high,HRSE,6
26,high,congr.,6
27,low,LRSE,5
27,low,MRSE,6
27,low,HRSE,5
27,low,congr.,5
27,mid,LRSE,4
27,mid,MRSE,4
27,mid,HRSE,3
27,mid,congr.,5
27,high,LRSE,2
27,high,MRSE,3
27,high,HRSE,3
27,high,congr.,3
28,low,LRSE,5
28,low,MRSE,6
28,low,HRSE,6
28,low,congr.,6
28,mid,LRSE,5
28,mid,MRSE,4
28,mid,HRSE,5
28,mid,congr.,6
28,high,LRSE,3
28,high,MRSE,6
28,high,HRSE,4
28,high,congr.,4
29,low,LRSE,6
29,low,MRSE,6
29,low,HRSE,6
29,low,congr.,6
29,mid,LRSE,6
29,mid,MRSE,6
29,mid,HRSE,6
29,mid,congr.,4
29,high,LRSE,4
29,high,MRSE,5
29,high,HRSE,5
29,high,congr.,5
30,low,LRSE,6
30,low,MRSE,4.75
30,low,HRSE,6
30,low,congr.,6
30,mid,LRSE,6
30,mid,MRSE,6
30,mid,HRSE,6
30,mid,congr.,6
30,high,LRSE,6
30,high,MRSE,6
30,high,HRSE,6
30,high,congr.,6
31,low,LRSE,6
31,low,MRSE,6
31,low,HRSE,3.5
31,low,congr.,6
31,mid,LRSE,4.75
31,mid,MRSE,6
31,mid,HRSE,4.75
31,mid,congr.,4.75
31,high,LRSE,3.5
31,high,MRSE,4.75
31,high,HRSE,3.5
31,high,congr.,3.5
32,low,LRSE,6
32,low,MRSE,5
32,low,HRSE,4
32,low,congr.,6
32,mid,LRSE,5
32,mid,MRSE,5
32,mid,HRSE,4
32,mid,congr.,4
32,high,LRSE,4
32,high,MRSE,4
32,high,HRSE,3
32,high,congr.,3
33,low,LRSE,6
33,low,MRSE,6
33,low,HRSE,6
33,low,congr.,6
33,mid,LRSE,4.75
33,mid,MRSE,6
33,mid,HRSE,6
33,mid,congr.,6
33,high,LRSE,3.5
33,high,MRSE,4.75
33,high,HRSE,4.75
33,high,congr.,4.75
34,low,LRSE,6
34,low,MRSE,6
34,low,HRSE,6
34,low,congr.,6
34,mid,LRSE,6
34,mid,MRSE,4.75
34,mid,HRSE,6
34,mid,congr.,6
34,high,LRSE,4.75
34,high,MRSE,6
34,high,HRSE,6
34,high,congr.,6
35,low,LRSE,6
35,low,MRSE,6
35,low,HRSE,6
35,low,congr.,6
35,mid,LRSE,6
35,mid,MRSE,4.33333333333333
35,mid,HRSE,6
35,mid,congr.,4.33333333333333
35,high,LRSE,6
35,high,MRSE,6
35,high,HRSE,6
35,high,congr.,6
36,low,LRSE,4.75
36,low,MRSE,3.5
36,low,HRSE,3.5
36,low,congr.,4.75
36,mid,LRSE,4.75
36,mid,MRSE,6
36,mid,HRSE,4.75
36,mid,congr.,4.75
36,high,LRSE,4.75
36,high,MRSE,6
36,high,HRSE,6
36,high,congr.,6
37,low,LRSE,4
37,low,MRSE,2
37,low,HRSE,2
37,low,congr.,3
37,mid,LRSE,6
37,mid,MRSE,4
37,mid,HRSE,3
37,mid,congr.,6
37,high,LRSE,4
37,high,MRSE,5
37,high,HRSE,5
37,high,congr.,5
38,low,LRSE,6
38,low,MRSE,6
38,low,HRSE,6
38,low,congr.,5
38,mid,LRSE,6
38,mid,MRSE,5
38,mid,HRSE,6
38,mid,congr.,6
38,high,LRSE,5
38,high,MRSE,5
38,high,HRSE,4
38,high,congr.,4
