participant,score,space,condition,f0,pc1,pc2
1,4,outer,incongruent,622.2539674,20,9
1,4,outer,incongruent,523.2511306,20,15
1,3,outer,incongruent,369.9944227,-20,-15
1,3,outer,incongruent,369.9944227,-20,-9
1,3,outer,incongruent,523.2511306,-13.3333,-15
1,3,outer,incongruent,369.9944227,-13.3333,-9
1,4,outer,incongruent,698.4564629,-6.6667,-15
1,5,outer,incongruent,587.3295358,-6.6667,-9
1,4,outer,incongruent,1244.507935,0,-15
1,3,outer,incongruent,1046.502261,0,-9
1,5,outer,incongruent,1108.730524,6.6667,-15
1,4,outer,incongruent,1046.502261,6.6667,-9
1,5,outer,incongruent,1567.981744,13.3333,-15
1,4,outer,incongruent,1567.981744,13.3333,-9
1,4,outer,incongruent,1567.981744,20,-15
1,4,outer,incongruent,830.6093952,20,-9
1,3,outer,incongruent,329.6275569,-20,-3
1,2,outer,incongruent,233.0818808,-20,3
1,3,outer,incongruent,369.9944227,-13.33,-3
1,2,outer,incongruent,233.0818808,-13.33,3
1,5,outer,incongruent,659.2551138,13.33,-3
1,5,outer,incongruent,622.2539674,13.33,3
1,4,outer,incongruent,698.4564629,20,-3
1,5,outer,incongruent,554.365262,20,3
1,2,inner,fixed,293.6647679,-8,-5
1,3,inner,fixed,293.6647679,-8,-2.5
1,2,inner,fixed,293.6647679,-8,0
1,2,inner,fixed,293.6647679,-8,2.5
1,3,inner,fixed,293.6647679,-8,5
1,3,inner,fixed,293.6647679,-6,-5
1,3,inner,fixed,293.6647679,-6,-2.5
1,2,inner,fixed,293.6647679,-6,0
1,2,inner,fixed,293.6647679,-6,2.5
1,3,inner,fixed,293.6647679,-6,5
1,3,inner,fixed,293.6647679,-4,-5
1,3,inner,fixed,293.6647679,-4,-2.5
1,3,inner,fixed,293.6647679,-4,0
1,3,inner,fixed,293.6647679,-4,2.5
1,3,inner,fixed,293.6647679,-4,5
1,3,inner,fixed,293.6647679,-2,-5
1,4,inner,fixed,293.6647679,-2,-2.5
1,4,inner,fixed,293.6647679,-2,0
1,4,inner,fixed,293.6647679,-2,2.5
1,3,inner,fixed,293.6647679,-2,5
1,4,inner,fixed,293.6647679,0,-5
1,4,inner,fixed,293.6647679,0,-2.5
1,3,inner,fixed,293.6647679,0,0
1,3,inner,fixed,293.6647679,0,2.5
1,3,inner,fixed,293.6647679,0,5
1,4,inner,fixed,293.6647679,2,-5
1,5,inner,fixed,293.6647679,2,-2.5
1,5,inner,fixed,293.6647679,2,0
1,4,inner,fixed,293.6647679,2,2.5
1,3,inner,fixed,293.6647679,2,5
1,4,inner,fixed,293.6647679,4,-5
1,5,inner,fixed,293.6647679,4,-2.5
1,4,inner,fixed,293.6647679,4,0
1,4,inner,fixed,293.6647679,4,2.5
1,4,inner,fixed,293.6647679,4,5
1,4,inner,fixed,293.6647679,6,-5
1,5,inner,fixed,293.6647679,6,-2.5
1,5,inner,fixed,293.6647679,6,0
1,4,inner,fixed,293.6647679,6,2.5
1,4,inner,fixed,293.6647679,6,5
1,5,inner,fixed,293.6647679,8,-5
1,4,inner,fixed,293.6647679,8,-2.5
1,4,inner,fixed,293.6647679,8,0
1,5,inner,fixed,293.6647679,8,2.5
1,4,inner,fixed,293.6647679,8,5
1,2,outer,fixed,293.6647679,-20,9
1,1,outer,fixed,293.6647679,-20,15
1,1,outer,fixed,293.6647679,-13.3333,9
1,2,outer,fixed,293.6647679,-13.3333,15
1,2,outer,fixed,293.6647679,-6.6667,9
1,2,outer,fixed,293.6647679,-6.6667,15
1,3,outer,fixed,293.6647679,0,9
1,2,outer,fixed,293.6647679,0,15
1,4,outer,fixed,293.6647679,6.6667,9
1,6,outer,fixed,293.6647679,6.6667,15
1,5,outer,fixed,293.6647679,13.3333,9
1,4,outer,fixed,293.6647679,13.3333,15
1,5,outer,fixed,293.6647679,20,9
1,5,outer,fixed,293.6647679,20,15
1,3,outer,fixed,293.6647679,-20,-15
1,2,outer,fixed,293.6647679,-20,-9
1,2,outer,fixed,293.6647679,-13.3333,-15
1,3,outer,fixed,293.6647679,-13.3333,-9
1,3,outer,fixed,293.6647679,-6.6667,-15
1,3,outer,fixed,293.6647679,-6.6667,-9
1,3,outer,fixed,293.6647679,0,-15
1,3,outer,fixed,293.6647679,0,-9
1,3,outer,fixed,293.6647679,6.6667,-15
1,3,outer,fixed,293.6647679,6.6667,-9
1,5,outer,fixed,293.6647679,13.3333,-15
1,4,outer,fixed,293.6647679,13.3333,-9
1,5,outer,fixed,293.6647679,20,-15
1,4,outer,fixed,293.6647679,20,-9
1,2,outer,fixed,293.6647679,-20,-3
1,2,outer,fixed,293.6647679,-20,3
1,2,outer,fixed,293.6647679,-13.33,-3
1,2,outer,fixed,293.6647679,-13.33,3
1,4,outer,fixed,293.6647679,13.33,-3
1,5,outer,fixed,293.6647679,13.33,3
1,5,outer,fixed,293.6647679,20,-3
1,6,outer,fixed,293.6647679,20,3
2,3,inner,congruent,640.7545406,-8,-5
2,1,inner,congruent,2253.883301,-8,-2.5
2,4,inner,congruent,403.6500668,-8,0
2,4,inner,congruent,320.3772703,-8,2.5
2,3,inner,congruent,277.182631,-8,5
2,6,inner,congruent,623.2923248,-6,-5
2,5,inner,congruent,480.0235314,-6,-2.5
2,4,inner,congruent,719.2226541,-6,0
2,4,inner,congruent,302.3958758,-6,2.5
2,3,inner,congruent,233.0818808,-6,5
2,4,inner,congruent,570.8473989,-4,-5
2,3,inner,congruent,938.5558282,-4,-2.5
2,5,inner,congruent,441.9964094,-4,0
2,3,inner,congruent,184.9972114,-4,2.5
2,4,inner,congruent,207.6523488,-4,5
2,4,inner,congruent,380.9949293,-2,-5
2,3,inner,congruent,540.6064185,-2,-2.5
2,3,inner,congruent,246.9416506,-2,0
2,5,inner,congruent,298.084941,-2,2.5
2,2,inner,congruent,87.45274745,-2,5
2,4,inner,congruent,380.9949293,0,-5
2,4,inner,congruent,415.997718,0,-2.5
2,4,inner,congruent,330.1776076,0,0
2,5,inner,congruent,587.993154,0,2.5
2,4,inner,congruent,134.7020491,0,5
2,4,inner,congruent,415.3046976,2,-5
2,5,inner,congruent,454.5939994,2,-2.5
2,5,inner,congruent,132.7817459,2,0
2,5,inner,congruent,142.3070579,2,2.5
2,5,inner,congruent,95.56661613,2,5
2,5,inner,congruent,201.8250334,4,-5
2,6,inner,congruent,315.809994,4,-2.5
2,5,inner,congruent,56.47459334,4,0
2,5,inner,congruent,131.4063187,4,2.5
2,5,inner,congruent,134.7020491,4,5
2,4,inner,congruent,170.2803516,6,-5
2,5,inner,congruent,186.2330636,6,-2.5
2,4,inner,congruent,169.7139471,6,0
2,4,inner,congruent,67.35102453,6,2.5
2,5,inner,congruent,84.85697354,6,5
2,5,inner,congruent,197.3070579,8,-5
2,5,inner,congruent,169.7139471,8,-2.5
2,5,inner,congruent,169.7139471,8,0
2,5,inner,congruent,93.89087297,8,2.5
2,5,inner,congruent,69.41129165,8,5
2,3,outer,congruent,591.2531222,-20,9
2,2,outer,congruent,640.7545406,-20,15
2,3,outer,congruent,640.7545406,-13.3333,9
2,3,outer,congruent,823.5108582,-13.3333,15
2,3,outer,congruent,623.2923248,-6.6667,9
2,2,outer,congruent,708.9694655,-6.6667,15
2,3,outer,congruent,440.7342295,0,9
