"participants","msi_score","register","condition","response","instrument"
13,52,"high","HRSE",4.75,"Violin"
13,52,"high","congr.",2.25,"Violin"
14,49,"low","LRSE",3.5,"Violin"
14,49,"low","MRSE",6,"Violin"
14,49,"low","HRSE",6,"Violin"
14,49,"low","congr.",1,"Violin"
14,49,"mid","LRSE",3.5,"Violin"
14,49,"mid","MRSE",1,"Violin"
14,49,"mid","HRSE",3.5,"Violin"
14,49,"mid","congr.",1,"Violin"
14,49,"high","LRSE",1,"Violin"
14,49,"high","MRSE",1,"Violin"
14,49,"high","HRSE",3.5,"Violin"
14,49,"high","congr.",1,"Violin"
15,80,"low","LRSE",2,"Violin"
15,80,"low","MRSE",3,"Violin"
15,80,"low","HRSE",1,"Violin"
15,80,"low","congr.",2,"Violin"
15,80,"mid","LRSE",4,"Violin"
15,80,"mid","MRSE",5,"Violin"
15,80,"mid","HRSE",1,"Violin"
15,80,"mid","congr.",5,"Violin"
15,80,"high","LRSE",5,"Violin"
15,80,"high","MRSE",5,"Violin"
15,80,"high","HRSE",4,"Violin"
15,80,"high","congr.",4,"Violin"
16,87,"low","LRSE",3,"Violin"
16,87,"low","MRSE",6,"Violin"
16,87,"low","HRSE",2,"Violin"
16,87,"low","congr.",3,"Violin"
16,87,"mid","LRSE",5,"Violin"
16,87,"mid","MRSE",4,"Violin"
16,87,"mid","HRSE",3,"Violin"
16,87,"mid","congr.",4,"Violin"
16,87,"high","LRSE",6,"Violin"
16,87,"high","MRSE",6,"Violin"
16,87,"high","HRSE",6,"Violin"
16,87,"high","congr.",6,"Violin"
17,73,"low","LRSE",3,"Violin"
17,73,"low","MRSE",4,"Violin"
17,73,"low","HRSE",1,"Violin"
17,73,"low","congr.",3,"Violin"
17,73,"mid","LRSE",2,"Violin"
17,73,"mid","MRSE",2,"Violin"
17,73,"mid","HRSE",2,"Violin"
17,73,"mid","congr.",2,"Violin"
17,73,"high","LRSE",5,"Violin"
17,73,"high","MRSE",4,"Violin"
17,73,"high","HRSE",4,"Violin"
17,73,"high","congr.",5,"Violin"
18,81,"low","LRSE",1,"Violin"
18,81,"low","MRSE",4.75,"Violin"
18,81,"low","HRSE",1,"Violin"
18,81,"low","congr.",1,"Violin"
18,81,"mid","LRSE",1,"Violin"
18,81,"mid","MRSE",4.75,"Violin"
18,81,"mid","HRSE",1,"Violin"
18,81,"mid","congr.",2.25,"Violin"
18,81,"high","LRSE",6,"Violin"
18,81,"high","MRSE",6,"Violin"
18,81,"high","HRSE",4.75,"Violin"
18,81,"high","congr.",6,"Violin"
19,81,"low","LRSE",1,"Violin"
19,81,"low","MRSE",3,"Violin"
19,81,"low","HRSE",2,"Violin"
19,81,"low","congr.",2,"Violin"
19,81,"mid","LRSE",3,"Violin"
19,81,"mid","MRSE",2,"Violin"
19,81,"mid","HRSE",4,"Violin"
19,81,"mid","congr.",4,"Violin"
19,81,"high","LRSE",3,"Violin"
19,81,"high","MRSE",3,"Violin"
19,81,"high","HRSE",3,"Violin"
19,81,"high","congr.",3,"Violin"
20,82,"low","LRSE",1,"Violin"
20,82,"low","MRSE",1,"Violin"
20,82,"low","HRSE",1,"Violin"
20,82,"low","congr.",1,"Violin"
20,82,"mid","LRSE",1,"Violin"
20,82,"mid","MRSE",2,"Violin"
20,82,"mid","HRSE",1,"Violin"
20,82,"mid","congr.",2,"Violin"
20,82,"high","LRSE",1,"Violin"
20,82,"high","MRSE",1,"Violin"
20,82,"high","HRSE",3,"Violin"
20,82,"high","congr.",2,"Violin"
21,91,"low","LRSE",1,"Violin"
21,91,"low","MRSE",2,"Violin"
21,91,"low","HRSE",1,"Violin"
21,91,"low","congr.",1,"Violin"
21,91,"mid","LRSE",2,"Violin"
21,91,"mid","MRSE",4,"Violin"
21,91,"mid","HRSE",1,"Violin"
21,91,"mid","congr.",3,"Violin"
21,91,"high","LRSE",2,"Violin"
21,91,"high","MRSE",1,"Violin"
21,91,"high","HRSE",1,"Violin"
21,91,"high","congr.",2,"Violin"
22,74,"low","LRSE",4.75,"Violin"
22,74,"low","MRSE",3.5,"Violin"
22,74,"low","HRSE",3.5,"Violin"
